shear,shear_stress,time,torque,angle
-0.14990820454577866,-43.38833342285388,0,-4.361871025047751e-06,-0.14990820454577866
-0.14620463776253928,-41.75343293107075,1,-4.197512901068992e-06,-0.14620463776253928
-0.14250107097929987,-40.11853243928759,2,-4.0331547770902306e-06,-0.14250107097929987
-0.1387975041960605,-38.4931195703147,3,-3.869750452987333e-06,-0.1387975041960605
-0.13509393741282108,-36.90385544537652,4,-3.709980197002706e-06,-0.13509393741282108
-0.1313903706295817,-35.31459132043837,5,-3.5502099410180815e-06,-0.1313903706295817
-0.1276868038463423,-33.80734717024261,6,-3.3986852322366034e-06,-0.1276868038463423
-0.12398323706310291,-32.40499987000202,7,-3.25770590499765e-06,-0.12398323706310291
-0.1202796702798635,-31.00265256976143,8,-3.1167265777586954e-06,-0.1202796702798635
-0.11657610349662412,-29.73818274535479,9,-2.9896082062053556e-06,-0.11657610349662412
-0.11287253671338471,-28.55001214233118,10,-2.870160268999905e-06,-0.11287253671338471
-0.10916896993014533,-27.361841539307576,11,-2.750712331794455e-06,-0.10916896993014533
-0.10546540314690593,-26.00495514931693,12,-2.614303233728836e-06,-0.10546540314690593
-0.10176183636366654,-24.620459437597084,13,-2.4751185439091356e-06,-0.10176183636366654
-0.09805826958042714,-23.26822180512334,14,-2.339176789922346e-06,-0.09805826958042714
-0.09435470279718775,-22.314971674708538,15,-2.243345634506517e-06,-0.09435470279718775
-0.09065113601394835,-21.361721544293733,16,-2.147514479090688e-06,-0.09065113601394835
-0.08694756923070895,-20.367862447843844,17,-2.0476008651351566e-06,-0.08694756923070895
-0.08324400244746956,-19.271856430906706,18,-1.937418322699959e-06,-0.08324400244746956
-0.07954043566423016,-18.175850413969567,19,-1.8272357802647614e-06,-0.07954043566423016
-0.07583686888099077,-17.120260005642457,20,-1.7211162579607517e-06,-0.07583686888099077
-0.07213330209775137,-16.108619037524853,21,-1.6194150152884724e-06,-0.07213330209775137
-0.06842973531451198,-15.096978069407246,22,-1.5177137726161926e-06,-0.06842973531451198
-0.06472616853127258,-14.128261801742685,23,-1.4203277914991397e-06,-0.06472616853127258
-0.0610226017480332,-13.173456174389901,24,-1.3243402604752133e-06,-0.0610226017480332
-0.057319034964793805,-12.218650547037116,25,-1.2283527294512868e-06,-0.057319034964793805
-0.05361546818155441,-11.45115994801109,26,-1.1511961589681063e-06,-0.05361546818155441
-0.049911901398315014,-10.70113676311416,27,-1.0757956044818913e-06,-0.049911901398315014
-0.04620833461507562,-9.923275199140091,28,-9.975964308853857e-07,-0.04620833461507562
-0.042504767831836224,-8.957164087212348,29,-9.004723485883084e-07,-0.042504767831836224
-0.03880120104859683,-7.991052975284604,30,-8.033482662912311e-07,-0.03880120104859683
-0.03509763426535743,-7.123282235971622,31,-7.16110436543204e-07,-0.03509763426535743
-0.03139406748211804,-6.439908855283914,32,-6.474102511855295e-07,-0.03139406748211804
-0.027690500698878642,-5.756535474596204,33,-5.787100658278549e-07,-0.027690500698878642
-0.023986933915639247,-4.986667914976525,34,-5.013145372026298e-07,-0.023986933915639247
-0.020283367132399865,-4.149139769583178,35,-4.1711702460287234e-07,-0.020283367132399865
-0.016579800349160456,-3.311611624189824,36,-3.3291951200311403e-07,-0.016579800349160456
-0.012876233565921075,-2.581586760667748,37,-2.59529408061391e-07,-0.012876233565921075
-0.009172666782681665,-1.8832725309889469,38,-1.8932720473799462e-07,-0.009172666782681665
-0.005469099999442274,-1.1849583013101488,39,-1.1912500141459852e-07,-0.005469099999442274
