shear,shear_stress,time,torque,angle
0.010225171310141874,2.2676374666977344,0,2.2796778260424228e-07,0.010225171310141874
0.01762786313020772,4.084856172085408,1,4.106545325182222e-07,0.01762786313020772
0.02503055495027357,5.902074877473085,2,5.933412824322023e-07,0.02503055495027357
0.032433246770339416,7.687052003157893,3,7.727867552282733e-07,0.032433246770339416
0.03983593859040527,9.382303247015773,4,9.432119985464453e-07,0.03983593859040527
0.04723863041047112,11.077554490873654,5,1.1136372418646173e-06,0.04723863041047112
0.054641322230536964,12.656709319767621,6,1.2723912005633097e-06,0.054641322230536964
0.06204401405060281,14.08968137358639,7,1.4164492638297583e-06,0.06204401405060281
0.06944670587066866,15.522653427405158,8,1.560507327096207e-06,0.06944670587066866
0.07684939769073451,17.03113275426065,9,1.7121562093791283e-06,0.07684939769073451
0.08425208951080036,18.5735648422111,10,1.8672183954964496e-06,0.08425208951080036
0.0916547813308662,20.11599693016154,11,2.0222805816137705e-06,0.0916547813308662
0.09905747315093205,21.77975409659531,12,2.1895396949393927e-06,0.09905747315093205
0.1064601649709979,23.4567601712518,13,2.3581307337927143e-06,0.1064601649709979
0.11386285679106374,25.13655735255338,14,2.527002365290246e-06,0.11386285679106374
0.12126554861112959,26.87931413559003,15,2.7022033863008614e-06,0.12126554861112959
0.12866824043119543,28.62207091862668,16,2.8774044073114762e-06,0.12866824043119543
0.13607093225126127,30.44587516442481,17,3.0607532079574053e-06,0.13607093225126127
0.14347362407132713,32.465523772117095,18,3.2637904312776914e-06,0.14347362407132713
0.15087631589139297,34.48517237980938,19,3.466827654597977e-06,0.15087631589139297
0.15827900771145884,36.63114495695053,20,3.6825643484588343e-06,0.15827900771145884
0.16568169953152467,38.89973445855325,21,3.910627840050707e-06,0.16568169953152467
0.1730843913515905,41.16832396015597,22,4.138691331642581e-06,0.1730843913515905
0.18048708317165638,43.510115100772715,23,4.374113854637884e-06,0.18048708317165638
0.1878897749917222,45.88483755316679,24,4.612846994182075e-06,0.1878897749917222
0.19529246681178805,48.259560005560864,25,4.851580133726266e-06,0.19529246681178805
0.20269515863185392,50.79662364701808,26,5.106633589652402e-06,0.20269515863185392
0.21009785045191975,53.34510673938047,27,5.362835053996834e-06,0.21009785045191975
0.2175005422719856,55.92537902297275,28,5.622232316409469e-06,0.2175005422719856
0.22490323409205146,58.72225709667921,29,5.903405167908432e-06,0.22490323409205146
0.2323059259121173,61.51913517038565,30,6.184578019407393e-06,0.2323059259121173
0.23970861773218316,64.39422654349222,31,6.4736137293642245e-06,0.23970861773218316
0.247111309552249,67.42386018080573,32,6.77818572226191e-06,0.247111309552249
0.25451400137231484,70.45349381811927,33,7.0827577151595965e-06,0.25451400137231484
0.2619166931923807,73.70302148240917,34,7.409435866768235e-06,0.2619166931923807
0.26931938501244657,77.11992888112749,35,7.752940864586158e-06,0.26931938501244657
0.27672207683251243,80.53683627984584,36,8.096445862404084e-06,0.27672207683251243
0.28412476865257824,84.38305836760469,37,8.48311028016338e-06,0.28412476865257824
0.2915274604726441,88.35758409260646,38,8.882673186376795e-06,0.2915274604726441
0.29893015229270997,92.33210981760823,39,9.282236092590209e-06,0.29893015229270997
