cost,coeff,accepted,alpha,mu
0.8695645566397778,  inf,    1,-50.0,20.0
1.419957311625314,  inf,    0,-130.76120023095217,11.896138161986283
0.7120265579497893,  inf,    1,-67.27295913849565,23.631618077386577
0.6075557125346033,  inf,    1,-91.40049999578008,19.860711777047886
0.5701352499392296,  inf,    1,-108.9871994927066,12.805889178881618
0.5689700953122995,  inf,    1,-109.14617759791255,13.218538432573599
0.5689711168510408,  inf,    0,-109.01878929054276,13.27595773024012
0.5689697415752143,  inf,    1,-109.11963224705912,13.234531724433777
0.5689696392794732,  inf,    1,-109.11410600692679,13.229600589836457
0.5689697129373373,  inf,    0,-109.11463697843143,13.22823265155391
0.5689693672045035,  inf,    1,-109.11418392376025,13.229254938809577
0.5689696811307594,  inf,    0,-109.11284520609495,13.228951651697294
0.568969813017418,  inf,    0,-109.11385514138601,13.22917368011004
0.5689695270180367,  inf,    0,-109.11410208129786,13.229234315263911
0.5689696317444446,  inf,    0,-109.11416348495533,13.229249764074304
0.5689693855713994,  inf,    0,-109.11417881541807,13.22925364395471
0.5689693810569436,  inf,    0,-109.11418264675959,13.229254615022779
0.5689693810569436,  inf,    0,-109.11418360451539,13.229254857858312
