time,displacement,force,angle,torque
83.83081817626953,1.7703191504315893e-07,-0.004089383986838093,0.0,2.8380036129037947e-08
83.88406372070312,-1.8902352290429322e-06,-0.004155229917073656,0.0,2.8388381369302482e-08
83.8881607055664,-2.047235965602738e-06,-0.0041603036748074475,0.0,2.8389127589908305e-08
84.23222351074219,-1.627935616057824e-05,-0.004590027378137089,0.0,2.850625789043339e-08
84.23632049560547,-1.6447184563072562e-05,-0.004595184853738063,0.0,2.850833513898731e-08
84.29776000976562,-1.881979165229841e-05,-0.004672632422004892,0.0,2.8541528468763915e-08
84.3018569946289,-1.89694845463456e-05,-0.004677803744526059,0.0,2.854387940984076e-08
84.5025634765625,-2.636503123633618e-05,-0.004932128605396028,0.0,2.8680868426149305e-08
84.50665283203125,-2.6517431256613852e-05,-0.004937329532085105,0.0,2.86841163826701e-08
84.56400299072266,-2.877797115044767e-05,-0.0050103436573618095,0.0,2.8731653466527064e-08
84.5680923461914,-2.8937680411545924e-05,-0.005015555185294851,0.0,2.8735185933867918e-08
84.75651550292969,-3.683914872262599e-05,-0.005256389670287054,0.0,2.8919207744246666e-08
84.76060485839844,-3.7010767101842076e-05,-0.005261630922121414,0.0,2.8923673813280282e-08
84.8957748413086,-4.265710977154827e-05,-0.005435184457973285,0.0,2.908302040607365e-08
84.89987182617188,-4.2826835399698094e-05,-0.005440453722607313,0.0,2.908821131881841e-08
85.16201782226562,-5.302836541027546e-05,-0.00577854327920478,0.0,2.946578658993997e-08
85.1661148071289,-5.3188345383997166e-05,-0.005783840664209243,0.0,2.9472382928273753e-08
85.2357406616211,-5.606768511353416e-05,-0.005873925439423785,0.0,2.95875678836135e-08
85.23983764648438,-5.624201061898022e-05,-0.005879229686708089,0.0,2.9594524375532946e-08
85.45283508300781,-6.516046571207626e-05,-0.006155477795216415,0.0,2.998196189448596e-08
85.45692443847656,-6.533127419071737e-05,-0.006160790340323094,0.0,2.998987187534214e-08
85.49378967285156,-6.682115565381674e-05,-0.006208696576126865,0.0,3.00619361064938e-08
85.49788665771484,-6.698816968114735e-05,-0.006214022133750701,0.0,3.007002807241205e-08
85.6863021850586,-7.396225485113073e-05,-0.006459249910948832,0.0,3.045915500140785e-08
85.69039916992188,-7.411654762247466e-05,-0.006464588621713652,0.0,3.046796726407649e-08
85.80508422851562,-7.848009056191072e-05,-0.006614132121283868,0.0,3.07202083228651e-08
85.8091812133789,-7.863843731071677e-05,-0.006619477777471849,0.0,3.072941096058596e-08
86.12866973876953,-9.205713850598132e-05,-0.007036944488283861,0.0,3.1482365407312274e-08
86.13276672363281,-9.222631375970728e-05,-0.007042304691848758,0.0,3.1492422094699287e-08
86.40310668945312,-0.00010266524307959564,-0.007396559045646093,0.0,3.217294074358018e-08
86.4072036743164,-0.00010282468162807095,-0.0074019388487167204,0.0,3.218347000084055e-08
86.75536346435547,-0.0001171634567236116,-0.00786095731271305,0.0,3.3091934476426825e-08
86.75945281982422,-0.00011732803210004082,-0.007866374713636598,0.0,3.3102699432808844e-08
86.96015930175781,-0.00012477312143733516,-0.008133191062036783,0.0,3.363080316194668e-08
86.9642562866211,-0.00012492226843154774,-0.008138657958386149,0.0,3.364155563142696e-08
87.03388977050781,-0.00012761375149907702,-0.008231711506901671,0.0,3.382395643175813e-08
87.0379867553711,-0.00012777940972599853,-0.008237194681140283,0.0,3.383466454284392e-08
87.06665802001953,-0.00012891983922680824,-0.008275593107158325,0.0,3.390951523335393e-08
87.07075500488281,-0.00012908035167659838,-0.00828108387227761,0.0,3.392019808475878e-08
87.34928131103516,-0.00014078476630535657,-0.00865678062940453,0.0,3.4636225216886984e-08
87.35337829589844,-0.0001409590873362139,-0.008662344082699378,0.0,3.464658982031411e-08
87.64009857177734,-0.00015219248884848363,-0.009054503038225595,0.0,3.5359368457230586e-08
87.64419555664062,-0.00015235058502031603,-0.009060147748233424,0.0,3.5369371730146715e-08
87.7547836303711,-0.0001569046783242236,-0.009212963936772635,0.0,3.563742077706848e-08
87.75888061523438,-0.00015707331662729188,-0.009218642217245006,0.0,3.564727813408402e-08
87.97187042236328,-0.0001659154441844679,-0.009515538345087421,0.0,3.615244551764861e-08
