time, displacement, force
12.978208, -1.774296875e-06, -0.0002456901431
12.9864, -1.942421875e-06, -0.0002679650028
12.990496, -2.026484375e-06, -0.0002790654366
13.02736, -2.895898438e-06, -0.0003919477196
13.031456, -2.99875e-06, -0.0004053597258
13.06832, -4.029648438e-06, -0.0005375496711
13.072416, -4.149921875e-06, -0.0005530317529
13.12976, -6.033828125e-06, -0.0007891091067
13.133856, -6.176875e-06, -0.0008071795942
13.17072, -7.572695313e-06, -0.000981167673
13.174816, -7.731171875e-06, -0.001000961274
13.281312, -1.214875e-05, -0.001526582496
13.285408, -1.232175781e-05, -0.001547294951
13.338656, -1.445304688e-05, -0.001792874553
13.342752, -1.461882813e-05, -0.001812040723
13.43696, -1.81378125e-05, -0.002196540578
13.441056, -1.829121094e-05, -0.002213363508
13.568032, -2.285566406e-05, -0.002691977215
13.572128, -2.30034375e-05, -0.002707572894
13.629472, -2.519746094e-05, -0.002941311646
13.633568, -2.535246094e-05, -0.002957781253
13.731872, -2.936257813e-05, -0.003386812846
13.735968, -2.953179688e-05, -0.003405088563
13.961248, -3.918660156e-05, -0.004427137763
13.965344, -3.9360625e-05, -0.004445728915
14.055456, -4.297394531e-05, -0.004819859128
14.059552, -4.313894531e-05, -0.00483707043
14.170144, -4.736390625e-05, -0.005267058972
14.17424, -4.751652344e-05, -0.00528248782
14.252064, -5.057554688e-05, -0.005600558653
14.25616, -5.073617188e-05, -0.005617319476
14.436384, -5.822675781e-05, -0.006417976591
14.44048, -5.840035156e-05, -0.006436919169
14.559264, -6.324722656e-05, -0.006957301638
14.56336, -6.341425781e-05, -0.006975369912
14.616608, -6.545914063e-05, -0.007190870485
14.620704, -6.561734375e-05, -0.007207655935
14.661664, -6.713476563e-05, -0.007365903959
14.66576, -6.728933594e-05, -0.007382237682
14.80912, -7.246957031e-05, -0.007927285426
14.813216, -7.261695313e-05, -0.007942902523
14.907424, -7.627800781e-05, -0.008348736733
14.91152, -7.643839844e-05, -0.008366694181
14.968864, -7.8799375e-05, -0.008637287587
14.97296, -7.896796875e-05, -0.008656681109
15.21872, -8.948179688e-05, -0.009887167688
15.222816, -8.965542969e-05, -0.009907761933
15.296544, -9.261996094e-05, -0.01025278086
15.30064, -9.278738281e-05, -0.01027252166
15.468576, -9.932664063e-05, -0.0110384462
15.472672, -9.948523438e-05, -0.01105719249
15.681568, -0.0001081580469, -0.01212557425
15.685664, -0.0001083314453, -0.0121474408
15.796256, -0.0001128375781, -0.01271065392
15.800352, -0.0001130053906, -0.0127318518
15.857696, -0.0001152613281, -0.01301339997
15.861792, -0.0001154217578, -0.01303347104
16.070688, -0.0001230240625, -0.01398096875
16.074784, -0.0001231716406, -0.0139995448
16.152608, -0.0001261767578, -0.01439240764
16.156704, -0.0001263345703, -0.01441313802
16.255008, -0.0001303704297, -0.01495900253
16.259104, -0.0001305402344, -0.01498222347
16.418848, -0.0001374047656, -0.01593653251
16.422944, -0.0001375831641, -0.0159617609
16.480288, -0.0001399623047, -0.01629326172
16.484384, -0.0001401341016, -0.01631740633
16.746528, -0.0001503844141, -0.01775479465
16.750624, -0.000150545, -0.01777777671
16.812064, -0.0001530566797, -0.01814445476
16.81616, -0.0001532224609, -0.01816868396
16.93904, -0.0001583969922, -0.01894044037
16.943136, -0.0001585707813, -0.01896667886
17.04144, -0.0001625905078, -0.01957009748
17.045536, -0.0001627595313, -0.01959575034
17.115168, -0.0001654568359, -0.01999893196
17.119264, -0.0001656153906, -0.02002275797
17.30768, -0.0001724257031, -0.02104657509
17.311776, -0.000172573125, -0.02106900515
17.3896, -0.0001755698438, -0.02153976936
17.393696, -0.0001757276172, -0.02156470553
17.487904, -0.000179623125, -0.02219756726
17.492, -0.0001797935156, -0.02222550464
17.700896, -0.0001887660156, -0.02372301088
17.704992, -0.0001889412109, -0.02375270356
17.7992, -0.0001927432031, -0.02439053309
17.803296, -0.000192910625, -0.0244189464
17.950752, -0.0001985951172, -0.02538070889
17.954848, -0.0001987519141, -0.02540747669
18.008096, -0.0002008796094, -0.02577745088
18.012192, -0.0002010412109, -0.02580556135
18.180128, -0.0002080464453, -0.02705766607
18.184224, -0.0002082200391, -0.02708925184
18.303008, -0.0002130723047, -0.02797093209
18.307104, -0.0002132401172, -0.02800174011
18.401312, -0.0002168725391, -0.02866349384
18.405408, -0.0002170295703, -0.0286922644
18.548768, -0.0002221874219, -0.02963700565
18.552864, -0.0002223326172, -0.02966375769
18.647072, -0.0002259343359, -0.03034871771
18.651168, -0.0002260925391, -0.03037910826
18.749472, -0.0002301260156, -0.03117085262
18.753568, -0.0002302964453, -0.03120468633
18.958368, -0.0002390401172, -0.0329693462
18.962464, -0.00023921375, -0.03300490725
19.056672, -0.000242984375, -0.03377229719
19.060768, -0.000243149375, -0.03380618605
19.19184, -0.0002481644531, -0.03483650173
19.195936, -0.0002483190625, -0.03486846927
19.249184, -0.0002504335156, -0.03531351873
19.25328, -0.0002505939453, -0.03534731501
19.45808, -0.0002591194922, -0.03719474402
19.462176, -0.0002592922656, -0.03723290603
19.572768, -0.000263781875, -0.03822466487
19.576864, -0.0002639460938, -0.03826115324
19.58096, -0.0002641103125, -0.03829766567
19.585056, -0.0002642745313, -0.03833420218
19.658784, -0.0002670491016, -0.03894729761
19.66288, -0.0002672044922, -0.03898190093
19.814432, -0.0002726714453, -0.04020621684
19.818528, -0.0002728196484, -0.04023979622
19.90864, -0.0002763079297, -0.0410487666
19.912736, -0.00027646875, -0.04108643508
19.986464, -0.000279526875, -0.04181401274
19.99056, -0.0002796970703, -0.0418547565
20.138016, -0.0002860724219, -0.04340421143
20.142112, -0.0002862526172, -0.04344867471
20.224032, -0.0002896990234, -0.04429638433
20.228128, -0.0002898716406, -0.04433913899
20.301856, -0.0002928603906, -0.04507821229
20.305952, -0.0002930273828, -0.04511979856
20.506656, -0.0003008433203, -0.04708399828
20.510752, -0.0003010049219, -0.04712532734
20.658208, -0.0003071401563, -0.0487268585
20.662304, -0.0003073155469, -0.04877341183
20.797472, -0.0003128430859, -0.05024358085
20.801568, -0.0003130116797, -0.05028894547
20.879392, -0.0003160373828, -0.05110047332
20.883488, -0.0003161959766, -0.05114323081
21.071904, -0.0003230110547, -0.0529933489
21.076, -0.0003231586328, -0.05303390813
21.149728, -0.0003259850391, -0.05382465478
21.153824, -0.0003261430469, -0.05386915232
21.231648, -0.0003293154688, -0.05477548119
21.235744, -0.0003294838672, -0.05482394459
21.329952, -0.0003335152734, -0.0559974736
21.334048, -0.0003336872266, -0.05604774863
21.40368, -0.0003367141406, -0.05694103019
21.407776, -0.0003368935156, -0.05699432178
21.481504, -0.0003399789844, -0.05790932832
21.4856, -0.0003401507813, -0.05796058865
21.559328, -0.0003430961328, -0.05883805254
21.563424, -0.0003432611328, -0.05888755283
21.6904, -0.000348130625, -0.06035368699
21.694496, -0.0003482846094, -0.06040032017
21.755936, -0.0003507175781, -0.06114722843
21.760032, -0.0003508771875, -0.06119633175
21.919776, -0.0003575375391, -0.0632891021
21.923872, -0.000357713125, -0.06334515908
22.05904, -0.0003632308203, -0.06511213811
22.063136, -0.0003633980078, -0.06516621503
22.136864, -0.0003662352344, -0.06608206439
22.14096, -0.0003663924219, -0.0661330566
22.329376, -0.0003732580078, -0.0683823302
22.333472, -0.0003734080078, -0.06843212779
22.4072, -0.0003763077734, -0.06941000163
22.411296, -0.0003764682031, -0.06946435997
22.48912, -0.0003796875, -0.070568399
