time,angle,torque,displacement,force
81.258528,0.0,,1.1015624999991501e-07,-0.002325947540236909
81.270816,0.0,,-3.792968750000866e-07,-0.0023311990968035755
81.274912,0.0,,-5.399218750000868e-07,-0.002344041886470242
81.598496,0.0,,-1.3936132812500147e-05,-0.002950959065470242
81.602592,0.0,,-1.410316406250015e-05,-0.0029475131288369087
81.6968,0.0,,-1.7679765625000164e-05,-0.003034488060836909
81.700896,0.0,,-1.7835781250000166e-05,-0.003048767717070242
81.844256,0.0,,-2.306242187500017e-05,-0.003331894008870242
81.848352,0.0,,-2.321160156250017e-05,-0.003354387964236909
81.926176,0.0,,-2.622578125000017e-05,-0.0035474239938702423
81.930272,0.0,,-2.638500000000017e-05,-0.0035697907929035755
81.946656,0.0,,-2.7052187500000163e-05,-0.0035974091485035755
81.950752,0.0,,-2.7214179687500164e-05,-0.0036230057184035757
82.008096,0.0,,-2.9575703125000162e-05,-0.0036682225105369084
82.012192,0.0,,-2.9744296875000164e-05,-0.0036848291276702426
82.237472,0.0,,-3.92633984375001e-05,-0.003758401782136909
82.241568,0.0,,-3.943460937500011e-05,-0.0037492973886702422
82.319392,0.0,,-4.249902343750008e-05,-0.003770990259136909
82.323488,0.0,,-4.266324218750008e-05,-0.003776725009770242
82.450464,0.0,,-4.7494570312500116e-05,-0.003950128101536909
82.45456,0.0,,-4.7646601562500115e-05,-0.003952887393970242
82.528288,0.0,,-5.055996093750011e-05,-0.004043867750470243
82.532384,0.0,,-5.072035156250011e-05,-0.004053251887870242
82.74128,0.0,,-5.94791796875002e-05,-0.004103707520936909
82.745376,0.0,,-5.9653750000000194e-05,-0.004106174353803575
82.835488,0.0,,-6.335605468750016e-05,-0.004233839312470242
82.839584,0.0,,-6.352464843750017e-05,-0.004231347048336909
82.917408,0.0,,-6.654390625000015e-05,-0.004362394365470242
82.921504,0.0,,-6.670210937500015e-05,-0.0043702780581369085
83.08944,0.0,,-7.282789062500014e-05,-0.004582133225103575
83.093536,0.0,,-7.297730468750013e-05,-0.0045823239596035755
83.19184,0.0,,-7.681886718750015e-05,-0.004716321303670242
83.195936,0.0,,-7.698046875000016e-05,-0.004722030623036909
83.249184,0.0,,-7.917511718750014e-05,-0.004802609591470242
83.25328,0.0,,-7.935152343750015e-05,-0.004796467940570242
83.47856,0.0,,-8.88746875000002e-05,-0.005347690645570242
83.482656,0.0,,-8.90474609375002e-05,-0.0053634580309035755
83.576864,0.0,,-9.282234375000016e-05,-0.005574194222136909
