time,angle,torque,displacement,force
936.704032,-3.25004494770312e-05,1.2419842219568418e-06,0.0,
937.277472,0.0261379809853319,2.338530435505686e-06,0.0,
937.281568,0.0263213147207553,2.346769001786342e-06,0.0,
937.687072,0.0440893159083592,3.167717478913966e-06,0.0,
937.691168,0.0442682028317444,3.1752343079355912e-06,0.0,
937.98608,0.0565975555855325,3.7560730275770607e-06,0.0,
937.990176,0.0567668279408106,3.7622174300864987e-06,0.0,
938.305568,0.0692472014168498,4.355390606143497e-06,0.0,
938.309664,0.0694039742392786,4.3612986411008415e-06,0.0,
938.387488,0.0723395062793597,4.5626831031777174e-06,0.0,
938.391584,0.072490917783448,4.5709311261796855e-06,0.0,
938.625056,0.0810165567576578,4.936294203123936e-06,0.0,
938.629152,0.0811633601630534,4.941290933704123e-06,0.0,
938.895392,0.0901756100253147,5.451145743560342e-06,0.0,
938.899488,0.0903087019621445,5.457404100282749e-06,0.0,
939.1944,0.099394915653153,5.94209449539956e-06,0.0,
939.198496,0.0995157250260852,5.949595081648966e-06,0.0,
939.436064,0.106057998513333,6.321199238890591e-06,0.0,
939.44016,0.106163895179567,6.3248724756019656e-06,0.0,
939.718688,0.112898353601708,6.675077505204278e-06,0.0,
939.722784,0.112989469315252,6.6783429803041845e-06,0.0,
939.964448,0.118000547285481,6.942564016563654e-06,0.0,
939.968544,0.118078488055452,6.947573374535059e-06,0.0,
940.255264,0.122919674399139,7.198974839479498e-06,0.0,
940.25936,0.122981435850154,7.201332046256904e-06,0.0,
940.513312,0.126260000283087,7.374973322134685e-06,0.0,
940.517408,0.126305649435054,7.3779402254177785e-06,0.0,
940.5256,0.126394823674211,7.382895381520309e-06,0.0,
940.529696,0.126439957239191,7.385348749259248e-06,0.0,
940.754976,0.128492850714743,7.432673500011372e-06,0.0,
940.759072,0.128523881023565,7.43373669606356e-06,0.0,
940.99664,0.129843555402203,7.434840113229373e-06,0.0,
941.000736,0.129859148914132,7.435224413325842e-06,0.0,
941.2424,0.130302026980709,7.379868100893748e-06,0.0,
941.246496,0.130302101863799,7.378550152692466e-06,0.0,
941.541408,0.129613734720247,7.206006726678372e-06,0.0,
941.545504,0.129596088735065,7.202883515859278e-06,0.0,
941.828128,0.127675191105406,6.9490794667789645e-06,0.0,
941.832224,0.127639096267631,6.9442803658088415e-06,0.0,
942.12304,0.124389717953146,6.586501882241528e-06,0.0,
942.127136,0.124335667265977,6.579020310396185e-06,0.0,
942.364704,0.120742738960142,6.26450944221506e-06,0.0,
942.3688,0.120672526051865,6.258568248637029e-06,0.0,
942.426144,0.119673329901252,6.147841753594404e-06,0.0,
942.43024,0.119602112700111,6.1394553316923725e-06,0.0,
942.712864,0.11402503149197,5.668341370114498e-06,0.0,
942.71696,0.113936242274413,5.659178679757967e-06,0.0,
943.036448,0.106311891502752,5.048209884477374e-06,0.0,
943.040544,0.106206797978225,5.039384583206529e-06,0.0,
943.368224,0.0970314098651958,4.374504337029749e-06,0.0,
943.37232,0.0969105239633919,4.365430677834187e-06,0.0,
943.65904,0.0878136743135644,3.7547505096688104e-06,0.0,
943.663136,0.087677918403967,3.746913543948092e-06,0.0,
943.937568,0.0781614355323141,3.114618902204904e-06,0.0,
943.941664,0.0780150132169272,3.106977883403623e-06,0.0,
944.17104,0.0694647055220766,2.665765901539123e-06,0.0,
944.175136,0.0693091247031133,2.6592505883429048e-06,0.0,
944.424992,0.0595000107866416,2.0648091875925915e-06,0.0,
944.429088,0.05933445332749,2.0548928585666233e-06,0.0,
944.773152,0.0450320590784023,1.3607594613545597e-06,0.0,
944.777248,0.0448569979585767,1.3573929286634035e-06,0.0,
945.412128,0.0167690749452703,4.3625105413312326e-08,0.0,
945.416224,0.0165847200934319,3.612302637693733e-08,0.0,
945.772576,0.0002120191703575,-6.614551486403434e-07,0.0,
945.776672,2.2941472235e-05,-6.681861731593121e-07,0.0,
946.714656,-0.0429452446604809,-2.525003400474843e-06,0.0,
946.718752,-0.0431285335026236,-2.533050091947374e-06,0.0,
947.124256,-0.0608748639447059,-3.332858397907498e-06,0.0,
