time,angle,displacement,torque,force
0,,-9.135156250005254e-07,,5.3900910354762015e-05
1,,-1.2235546875005288e-06,,4.4807444328994394e-05
2,,-1.3749609375005283e-06,,2.9471608372286565e-05
3,,-1.2344257812500524e-05,,-0.00014874529509337057
4,,-1.2496757812500313e-05,,-0.00015500621313870315
5,,-1.3134726562500322e-05,,-0.00018693286474939503
6,,-1.3199531250000498e-05,,-0.00018900317895932986
7,,-2.3482421875000377e-05,,-0.0002298251026626786
8,,-2.3482773437500443e-05,,-0.00022982284545587
9,,-2.5354921875000373e-05,,-0.00022545158852478467
10,,-2.5356132812500448e-05,,-0.00022548778236953647
11,,-3.504812500000033e-05,,-0.00032243113534552556
12,,-3.5196640625000333e-05,,-0.0003230767263536264
13,,-3.662062500000034e-05,,-0.00030469104142859184
14,,-3.677164062500034e-05,,-0.0003123277593725204
15,,-3.830265625000029e-05,,-0.00028070156660852026
16,,-3.836957031250035e-05,,-0.0002757835365950153
17,,-4.7233359375000434e-05,,-0.0004160152796961103
18,,-4.7243632812500326e-05,,-0.0004159882809094677
19,,-5.1339218750000364e-05,,-0.0004463344657011179
20,,-5.1341757812500396e-05,,-0.00044636875188685653
21,,-5.9347148437500355e-05,,-0.0005822942368298545
22,,-5.9508593750000365e-05,,-0.000589087240932529
23,,-6.310054687500034e-05,,-0.0005819430208681706
24,,-6.326554687500033e-05,,-0.0005827688051033052
25,,-7.370332031250037e-05,,-0.0006702007186800737
26,,-7.371121093750039e-05,,-0.0006700613449340828
27,,-7.387042968750037e-05,,-0.0006788202574621845
28,,-7.387070312500037e-05,,-0.0006788184630840189
29,,-8.476550781250054e-05,,-0.0008950455479426807
30,,-8.492289062500053e-05,,-0.0009012364386868708
31,,-8.68736328125004e-05,,-0.0009459032616829111
32,,-8.698125000000049e-05,,-0.0009482922365613546
33,,-8.759804687500051e-05,,-0.000947313154845571
34,,-8.774644531250051e-05,,-0.0009439006870557321
35,,-9.823386718750039e-05,,-0.0010448990724503642
36,,-9.823652343750044e-05,,-0.0010449907121590591
37,,-0.00010097488281250046,,-0.0010613444980044926
38,,-0.00010097957031250041,,-0.0010615244129505623
39,,-0.00011129968750000036,,-0.0011769917801918897
40,,-0.00011145582031250036,,-0.0011837963354426391
41,,-0.0001247967968750005,,-0.0013230535289959439
42,,-0.0001248079687500003,,-0.0013229045501958671
43,,-0.00013466414062500038,,-0.001401110244345934
44,,-0.00013482800781250038,,-0.001402051333484486
45,,-0.00013623906250000037,,-0.001411820726028529
46,,-0.00013639906250000034,,-0.0014244742145101332
47,,-0.00015003398437500026,,-0.0016860670622605614
48,,-0.0001500430859375005,,-0.001685630498406427
49,,-0.00015805957031250035,,-0.0017603371079445995
50,,-0.0001581506640625004,,-0.0017662085806144261
51,,-0.00016189136718750043,,-0.001747466205405406
52,,-0.00016205675781250035,,-0.0017471934209768363
53,,-0.0001736590234375003,,-0.001834683101121948
54,,-0.00017366417968750044,,-0.0018346099067384832
55,,-0.00018404273437500027,,-0.0018863824043380388
56,,-0.0001842039453125003,,-0.0018875708431592508
57,,-0.0001870468750000003,,-0.001909437099783187
58,,-0.00018719687500000034,,-0.0018997768883621715
59,,-0.00019508113281250042,,-0.0019221339263029498
60,,-0.00019513644531250033,,-0.001920024068271899
61,,-0.00019815644531250034,,-0.0019641587894127736
62,,-0.00019816320312500041,,-0.001964262368913926
63,,-0.00020122820312500032,,-0.002027566126929381
64,,-0.00020122828125000044,,-0.0020275664478698573
65,,-0.0002113755468750004,,-0.002160029909046979
66,,-0.00021153328125000047,,-0.002160641747607551
67,,-0.00022443988281250043,,-0.0022256106135210693
68,,-0.00022444675781250039,,-0.002225908950899547
69,,-0.00022806441406250045,,-0.0022889765522681443
70,,-0.00022817761718750033,,-0.0022924945220022305
71,,-0.00023334617187500045,,-0.0022858698357900607
72,,-0.0002335077734375005,,-0.0022907211398771428
73,,-0.00023636261718750043,,-0.002303593722724169
74,,-0.0002365126171875004,,-0.0023065688019084348
75,,-0.0002499842578125004,,-0.0022987265864336456
76,,-0.0002499969140625004,,-0.0022991227140608016
77,,-0.0002573323046875004,,-0.002287113010543469
78,,-0.0002574058593750004,,-0.0022854746905969165
79,,-0.00026202574218750046,,-0.0023719157717290353
80,,-0.00026218695312500045,,-0.002379136282304084
81,,-0.00027344253906250036,,-0.0025524512075056956
82,,-0.00027344269531250044,,-0.002552446957164058
83,,-0.00027533261718750037,,-0.0025908948219004494
84,,-0.0002753338671875004,,-0.0025908933959667103
85,,-0.0002850062890625003,,-0.0027499006087828137
86,,-0.0002851638671875003,,-0.002757661845148255
87,,-0.00028767824218750034,,-0.002799061527129299
88,,-0.00028781687500000044,,-0.0028050114952943347
89,,-0.00029937136718750045,,-0.003022656261275172
90,,-0.0002993744531250004,,-0.003022600592016142
91,,-0.00031218144531250044,,-0.0032591146248696617
92,,-0.00031234707031250043,,-0.0032606354100911924
93,,-0.0003236463281250003,,-0.003461488686309161
94,,-0.0003236525000000004,,-0.003461774205502135
95,,-0.0003255333984375003,,-0.0034762125939613777
96,,-0.0003255380859375004,,-0.003476191442893902
97,,-0.00033471417968750035,,-0.0036441023918438427
98,,-0.00033488027343750036,,-0.0036536096996940114
99,,-0.0003363030078125004,,-0.003682335761296624
100,,-0.0003364550390625004,,-0.0036768796604565498
101,,-0.0003370755078125003,,-0.003665294562173494
102,,-0.00033715589843750035,,-0.003660434118736536
103,,-0.00034722187500000045,,-0.0039694288343710285
104,,-0.0003472281640625004,,-0.003969599743290482
105,,-0.0003514967187500004,,-0.004111745458440298
106,,-0.00035149792968750047,,-0.0041118230114476784
107,,-0.00036210062500000045,,-0.004362742492212172
108,,-0.0003622564843750004,,-0.004364441665233035
109,,-0.00036793632812500045,,-0.004493682351818998
110,,-0.0003679393750000004,,-0.004493879229145411
111,,-0.0003740242578125004,,-0.004750178523352043
112,,-0.0003740309765625004,,-0.0047499027307533505
113,,-0.00037592082031250045,,-0.004804872853425175
114,,-0.0003759303125000004,,-0.004805343700043858
115,,-0.00038478132812500037,,-0.005084700855878456
116,,-0.00038493417968750047,,-0.005091285242190224
117,,-0.0003885221093750004,,-0.005253572602730222
118,,-0.0003886577343750004,,-0.005273599145835941
119,,-0.0003987184765625004,,-0.005661049794964349
120,,-0.0003987271875000004,,-0.005661206798816255
121,,-0.0004014751171875004,,-0.00573915299090514
122,,-0.0004014786718750005,,-0.005739257206501635
123,,-0.0004114638281250004,,-0.006104242581228962
124,,-0.00041162125000000045,,-0.006118992122007869
125,,-0.0004129878515625004,,-0.006184784490498502
126,,-0.00041305675781250044,,-0.006188963827215394
127,,-0.00042307503906250044,,-0.006457826614317482
128,,-0.0004230852343750004,,-0.006457915478341069
129,,-0.0004252878906250004,,-0.0065270650433399136
130,,-0.00042529269531250036,,-0.006527411440621923
131,,-0.0004354573828125004,,-0.006860959678524641
132,,-0.00043561996093750035,,-0.006869634331703826
133,,-0.0004381104296875004,,-0.006906170108693101
134,,-0.0004382583984375004,,-0.006910380767054903
135,,-0.00045005359375000035,,-0.0072567528859969685
136,,-0.0004500573437500004,,-0.00725690759769243
137,,-0.00045822316406250035,,-0.0075609144695924745
138,,-0.0004582875781250004,,-0.00756035006984335
139,,-0.0004627121484375004,,-0.007766498530789831
140,,-0.00046287085937500035,,-0.0077817810417217005
141,,-0.0004757007812500003,,-0.008398735404304617
142,,-0.0004757080468750003,,-0.008399299269192527
143,,-0.0004849026171875004,,-0.008809155472562436
144,,-0.0004850608203125004,,-0.008820354645728837
145,,-0.0004875596484375004,,-0.008951763907189658
146,,-0.0004877084375000004,,-0.008963562079696447
147,,-0.0004988012890625004,,-0.009589370421595696
148,,-0.0004988086718750004,,-0.00958999177056915
149,,-0.0005013885937500004,,-0.009750944985145026
150,,-0.0005013939843750004,,-0.009751059986932629
151,,-0.0005105433203125004,,-0.010177025732235247
152,,-0.0005107106640625003,,-0.010188646637721756
153,,-0.0005115296484375004,,-0.01021019756075088
154,,-0.0005115624218750003,,-0.010212245961665816
155,,-0.0005133092578125004,,-0.010316717827873977
156,,-0.0005134562109375003,,-0.01032541099924188
157,,-0.0005238444531250004,,-0.010930740026655367
158,,-0.0005238494140625004,,-0.010931113495480737
159,,-0.0005363777734375003,,-0.011673551539385082
160,,-0.0005365253906250003,,-0.011676477527979755
161,,-0.0005400014062500004,,-0.011848800830380613
162,,-0.0005400339062500004,,-0.011851117430409163
163,,-0.0005489618359375004,,-0.012457924943997084
164,,-0.0005489655468750004,,-0.012458024029789107
165,,-0.0005503384375000004,,-0.012529083447013187
166,,-0.0005503405859375004,,-0.012529225221969583
167,,-0.0005626671093750004,,-0.01340454234907872
168,,-0.0005628319140625004,,-0.013421023639718109
169,,-0.0005655130078125003,,-0.013596480293651809
170,,-0.0005655448437500004,,-0.013599730267938533
171,,-0.0005742476562500005,,-0.014383505312638132
172,,-0.0005742593750000004,,-0.014383860327286729
173,,-0.0005855922656250003,,-0.015406250605243716
174,,-0.0005857472265625003,,-0.015407769244459614
175,,-0.0005894317968750003,,-0.0158071431296063
176,,-0.0005895771875000003,,-0.01581140068924542
177,,-0.0006078013671875004,,-0.01777383362815586
178,,-0.0006079305468750004,,-0.017784453402155814
179,,-0.0006105805078125004,,-0.018065546353794197
180,,-0.0006106944921875005,,-0.018078028239547038
181,,-0.0006133650781250003,,-0.018383163182045612
182,,-0.0006134532421875004,,-0.018397186224253164
183,,-0.0006161564453125004,,-0.018716782364076735
184,,-0.0006162074609375004,,-0.01872494868635932
185,,-0.0006163712500000004,,-0.01873201731328986
186,,-0.0006164548437500004,,-0.018743883255426863
187,,-0.0006189989453125004,,-0.018979812256392198
188,,-0.0006190706640625004,,-0.018991485588061487
189,,-0.0006236873046875004,,-0.019388516833388988
190,,-0.0006237451171875004,,-0.019396540867067904
191,,-0.0006269826953125005,,-0.019572062698630648
192,,-0.0006270307031250004,,-0.019570596559902072
193,,-0.0006281438281250004,,-0.019632769821525432
194,,-0.0006281829687500004,,-0.019631825000895147
195,,-0.0006294039062500003,,-0.019688196770101984
196,,-0.0006294367187500004,,-0.019693232248439496
197,,-0.0006295269531250003,,-0.019690760535295126
