stretch,normal_stress,time,force,displacement
1.0058165818384093,0.8353307260190991,0,4.1988301954870875e-05,2.3266327353637094e-05
1.009408735333819,1.0425526719904148,1,5.240441304488794e-05,3.763494133527612e-05
1.0130008888292288,1.457826610551977,2,7.327835791868479e-05,5.200355531691514e-05
1.0165930423246388,2.293873197106409,3,0.00011530264294873641,6.637216929855505e-05
1.0201851958200485,3.5626632161586183,4,0.000179078985393576,8.074078328019407e-05
1.0237773493154583,4.7682648993932295,5,0.0002396791356528615,9.51093972618331e-05
1.027369502810868,5.274850482474294,6,0.00026514290439241307,0.00010947801124347212
1.0309616563062778,5.492496294324045,7,0.0002760829761298813,0.00012384662522511115
1.0345538098016875,5.650098059603832,8,0.0002840049048978135,0.00013821523920675016
1.0381459632970975,6.193715244126748,9,0.00031133008495001123,0.00015258385318839008
1.0417381167925073,7.046752672658069,10,0.00035420842284938925,0.0001669524671700291
1.045330270287917,8.225681305990877,11,0.00041346783938674933,0.00018132108115166812
1.0489224237833268,8.788686486850914,12,0.0004417675664287155,0.00019568969513330715
1.0525145772787365,9.343629771257717,13,0.00046966205835593795,0.00021005830911494618
1.0561067307741463,9.793055000978649,14,0.0004922526343564049,0.00022442692309658518
1.0596988842695563,10.516486822531856,15,0.0005286162838918391,0.0002387955370782251
1.063291037764966,10.542483246355719,16,0.0005299230066775135,0.0002531641510598641
1.0668831912603758,10.641097432544884,17,0.0005348798963234594,0.00026753276504150314
1.0704753447557855,10.797454711799105,18,0.000542739270400905,0.0002819013790231422
1.0740674982511953,11.19018008231115,19,0.0005624798006229685,0.0002962699930047812
1.0776596517466053,12.311294218939807,20,0.0006188331435904605,0.0003106386069864211
1.081251805242015,13.213628767025618,21,0.000664189424988007,0.00032500722096806013
1.0848439587374248,13.845012127609836,22,0.0006959262142233704,0.00033937583494969917
1.0884361122328345,13.8606296116958,23,0.0006967112345957227,0.0003537444489313382
1.0920282657282443,14.555063530336069,24,0.0007316172905509841,0.0003681130629129772
1.0956204192236543,15.296215368455767,25,0.0007688716452682868,0.0003824816768946171
1.099212572719064,16.196356472579325,26,0.0008141176721468272,0.0003968502908762561
1.1028047262144738,17.41167549204239,27,0.0008752062689998371,0.00041121890485789513
1.1063968797098835,18.414580106342566,28,0.0009256177532964248,0.00042558751883953416
1.1099890332052933,19.505406581175656,29,0.000980448672331255,0.0004399561328211732
1.113581186700703,20.844238650243,30,0.0010477457122124133,0.0004543247468028122
1.117173340196113,22.146648072300746,31,0.001113211950169257,0.0004686933607844521
1.1207654936915228,23.502762737006027,32,0.001181377708058273,0.00048306197476609116
1.1243576471869325,24.41322234457506,33,0.001227142399490739,0.0004974305887477301
1.1279498006823423,25.051658802783187,34,0.0012592337160809877,0.0005117992027293692
1.131541954177752,25.699547826735753,35,0.001291800170448841,0.0005261678167110082
1.1351341076731618,26.338268614213025,36,0.00132390577898698,0.0005405364306926472
1.1387262611685718,27.209049786035276,37,0.0013676760147034775,0.0005549050446742871
1.1423184146639815,28.675864733308703,38,0.001441406175703956,0.0005692736586559262
1.1459105681593913,30.247646619842563,39,0.0015204125505484405,0.0005836422726375652
