cost,coeff,accepted,alpha,mu
0.5210862713674115,  inf,    1,-50.0,20.0
0.1559890368623709,  inf,    1,21.95788711796301,33.34448857338687
0.07572594199247198,  inf,    1,75.26888154344951,17.352179154596467
0.06250498560561871,  inf,    1,106.3418257751721,14.370982935061697
0.05853057925761838,  inf,    1,96.26290369331895,15.819133677353896
0.05852208665222192,  inf,    1,95.95620621744195,15.876840591486422
0.05851938060691033,  inf,    1,95.69939861952854,15.94256739194124
0.05852822706057777,  inf,    0,96.26136760736613,15.836297501928524
0.058519530676415556,  inf,    0,95.82593879586705,15.911488824395509
0.058519053446695606,  inf,    1,95.7218728910679,15.93282236810277
0.05851913047693063,  inf,    0,95.71118254767379,15.932419981871991
0.05851932371420206,  inf,    0,95.71924384194284,15.9326604101902
0.05851920359558243,  inf,    0,95.72121917301233,15.932778054308969
0.05851927149894162,  inf,    0,95.72170969467828,15.932811052325293
0.05851907298285103,  inf,    0,95.72183210671487,15.932819524357507
0.05851906195987025,  inf,    0,95.72186269590385,15.932821656241922
0.058519053446695606,  inf,    0,95.7218703423347,15.932822190079783
0.058519053446695606,  inf,    0,95.72187225388822,15.932822323593411
