displacement,force,time
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
-1.133599999999999785e-05,-5.168914149890016128e-05,1.000000000000000000e+00
-2.267199999999999570e-05,-1.059088420929091056e-04,2.000000000000000000e+00
-3.400799999999999017e-05,-1.543125822638693448e-04,3.000000000000000000e+00
-4.534399999999999141e-05,-2.055161929993618150e-04,4.000000000000000000e+00
-5.667999999999999265e-05,-2.565985795931813632e-04,5.000000000000000000e+00
-6.801599999999998034e-05,-3.101629582576521590e-04,6.000000000000000000e+00
-7.935199999999998158e-05,-3.648635812815540251e-04,7.000000000000000000e+00
-9.068799999999998282e-05,-4.179966739577961068e-04,8.000000000000000000e+00
-1.020239999999999976e-04,-4.700388400530638284e-04,9.000000000000000000e+00
-1.133599999999999853e-04,-5.302485895756690838e-04,1.000000000000000000e+01
-1.246959999999999594e-04,-5.878558546192019871e-04,1.100000000000000000e+01
-1.360319999999999607e-04,-6.569033615586226905e-04,1.200000000000000000e+01
-1.473679999999999890e-04,-7.284497131521913173e-04,1.300000000000000000e+01
-1.587039999999999632e-04,-8.116406038381377775e-04,1.400000000000000000e+01
-1.700399999999999644e-04,-8.973583189207671919e-04,1.500000000000000000e+01
-1.813759999999999656e-04,-9.751201319308864645e-04,1.600000000000000000e+01
-1.927119999999999940e-04,-1.059689236728040109e-03,1.700000000000000000e+01
-2.040479999999999681e-04,-1.143547274524064255e-03,1.800000000000000000e+01
-2.153839999999999694e-04,-1.222860795575277841e-03,1.900000000000000000e+01
