time,displacement,angle,force,torque
899.3731079101562,3.136718760288204e-07,0.0,-0.0012297117229019315,2.757534380253998e-08
899.450927734375,1.9374999737920007e-07,0.0,-0.0012186337227560857,2.6264160547997363e-08
899.4550170898438,1.8750000663203537e-07,0.0,-0.001218055053603736,2.619607258365094e-08
899.5737915039062,6.250000073038109e-09,0.0,-0.0012013827742954272,2.425494270313845e-08
899.577880859375,0.0,0.0,-0.001200813053144793,2.4189388474455934e-08
902.5966186523438,0.0,0.0,-0.0008144417342801852,2.4697337308243473e-10
902.6007080078125,0.0,0.0,-0.0008140104355278855,2.4120266370739643e-10
906.8646850585938,0.0,0.0,-0.0004462807886349957,1.7474858480511908e-08
906.8687744140625,0.0,0.0,-0.0004459814667871569,1.7504651423075912e-08
910.960693359375,0.0,0.0,-0.00019149198954616226,4.9044338714985574e-08
910.9647827148438,0.0,0.0,-0.00019128232387740892,4.907525298159135e-08
912.189453125,0.0,0.0,-0.00013234820021737871,5.791546936976001e-08
912.1935424804688,0.0,0.0,-0.0001321643354095913,5.7941023331226814e-08
913.2913208007812,0.0,0.0,-8.560252437849695e-05,6.531914476424278e-08
913.29541015625,0.0,0.0,-8.543827738082552e-05,6.535633043068534e-08
916.2936401367188,0.0,0.0,1.7934766572076915e-05,1.1007482728955852e-07
916.2977294921875,0.0,0.0,1.803221609316145e-05,1.1002203940808249e-07
917.8501586914062,0.0,0.0,6.730884208514757e-05,2.996014618827822e-07
